prestador,factura,forest pos,iforest prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
5833AB66972CC785431A16BE6CCD2C47,982A517BB373983EBC0D619E7354233E,2,"98,54 %",3,1,1,1,218224776,1,96,5037000,694,46931500,1,1,0,75,53340458,397822
B725F4EAFE01B71BF7125AB91BC8356B,F5832771A3F73FAC84399C6A4FDF119D,2,"95,66 %",3,1,1,1,10974865,10,0,0,0,0,0,0,0,38,10974865,0
BDC9655DB70D0AD154FA9811931FC6C8,78BB00FDFD7B47B496A3B2F89C795DB0,2,"98,55 %",2,0,1,1,1079632512,27167,43364,0,37345,0,224,14,0,3047,0,0
E0B158A4D09C4884A37BAA919DC7EB47,766A51564C2A451CC694465ED993E6CF,2,"98,35 %",2,0,1,1,7167835.44,50,12,659600,7,230400,1,1,0,18,817806,0
3F89EB097CB8FB95E71536FCE8F04D40,D1A6BC851B098A19C6DE9141D2DFE616,3,"99,68 %",2,0,1,1,302872875,5089,2674,84948753,10733,291108422,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,53BF7F36745394409AF55D3B966EEABC,3,"96,54 %",2,0,1,1,1462611084,123211,0,0,153147,1462611084,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,DAC18257487B9C4CD72E2EE436168222,3,"98,81 %",2,0,1,1,102223351,1333,568,35083000,1090,66523831,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,829DB74BD9540BFBA01C651DA03C5DC2,3,"93,71 %",3,1,1,1,133467871,1,62,5304200,493,51642700,1,1,0,68,16027139,1110043
B725F4EAFE01B71BF7125AB91BC8356B,EDAA689F2D4C651A6B83C9125F44189F,3,"92,91 %",1,0,1,0,2300000,10,2,0,37,2300000,0,0,0,17,0,0
BDC9655DB70D0AD154FA9811931FC6C8,ABB366A9D3064945AA043BF4AC631AF6,3,"98,47 %",2,0,1,1,1172929494,27474,39749,0,40060,0,322,81,0,4227,0,0
